,Date,Open,High,Low,Close,Adj Close,Volume
426,2021-10-01,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,7.999999979801942e-06,316837935
427,2021-10-02,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,7.999999979801942e-06,320232218
428,2021-10-03,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,9.000000318337698e-06,627602337
429,2021-10-04,9.000000318337698e-06,1.4999999621068127e-05,7.999999979801942e-06,1.2999999853491317e-05,1.2999999853491317e-05,5113996411
430,2021-10-05,1.2999999853491317e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.700000029813964e-05,1.700000029813964e-05,9382762020
431,2021-10-06,1.700000029813964e-05,2.9000000722589903e-05,1.700000029813964e-05,2.8000000384054147e-05,2.8000000384054147e-05,15233960302
432,2021-10-07,2.8000000384054147e-05,3.5000000934815034e-05,2.099999983329326e-05,2.300000051036477e-05,2.300000051036477e-05,18731843000
433,2021-10-08,2.300000051036477e-05,2.9000000722589903e-05,2.099999983329326e-05,2.700000004551839e-05,2.700000004551839e-05,12326548369
434,2021-10-09,2.700000004551839e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.700000004551839e-05,2.700000004551839e-05,6401062357
435,2021-10-10,2.700000004551839e-05,2.8000000384054147e-05,2.499999936844688e-05,2.5999999706982635e-05,2.5999999706982635e-05,3597266431
436,2021-10-11,2.5999999706982635e-05,3.199999991920777e-05,2.5999999706982635e-05,3.099999958067201e-05,3.099999958067201e-05,7321688785
437,2021-10-12,3.099999958067201e-05,3.199999991920777e-05,2.700000004551839e-05,2.9000000722589903e-05,2.9000000722589903e-05,4868743619
438,2021-10-13,2.9000000722589903e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,2.9000000722589903e-05,3082220289
439,2021-10-14,2.9000000722589903e-05,2.9999999242136255e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,2727081948
440,2021-10-15,2.700000004551839e-05,2.700000004551839e-05,2.300000051036477e-05,2.499999936844688e-05,2.499999936844688e-05,4121246428
441,2021-10-16,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.5999999706982635e-05,2.5999999706982635e-05,1871226740
442,2021-10-17,2.5999999706982635e-05,2.9000000722589903e-05,2.4000000848900527e-05,2.8000000384054147e-05,2.8000000384054147e-05,2304858857
443,2021-10-18,2.8000000384054147e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.9000000722589903e-05,2.9000000722589903e-05,3919367323
444,2021-10-19,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,1651861422
445,2021-10-20,2.8000000384054147e-05,2.9000000722589903e-05,2.700000004551839e-05,2.9000000722589903e-05,2.9000000722589903e-05,1676016339
446,2021-10-21,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,1540610794
447,2021-10-22,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,2.8000000384054147e-05,1297177007
448,2021-10-23,2.8000000384054147e-05,3.5000000934815034e-05,2.8000000384054147e-05,3.400000059627928e-05,3.400000059627928e-05,4703212108
449,2021-10-24,3.400000059627928e-05,4.400000034365803e-05,3.400000059627928e-05,3.600000127335079e-05,3.600000127335079e-05,15337292521
450,2021-10-25,3.600000127335079e-05,4.400000034365803e-05,3.5000000934815034e-05,4.199999966658652e-05,4.199999966658652e-05,8244210217
451,2021-10-26,4.199999966658652e-05,4.8999998398358e-05,4.099999932805076e-05,4.8000001697801054e-05,4.8000001697801054e-05,11176750625
452,2021-10-27,4.8000001697801054e-05,8.70000003487803e-05,4.70000013592653e-05,7.999999797903001e-05,7.999999797903001e-05,39053846018
453,2021-10-28,7.899999764049426e-05,8.800000068731606e-05,5.700000110664405e-05,6.800000119255856e-05,6.800000119255856e-05,32835212339
454,2021-10-29,6.900000153109431e-05,7.699999696342275e-05,6.0999998822808266e-05,7.500000356230885e-05,7.500000356230885e-05,14287074318
455,2021-10-30,7.500000356230885e-05,7.79999973019585e-05,6.199999916134402e-05,6.500000017695129e-05,6.500000017695129e-05,8093183339
456,2021-10-31,6.500000017695129e-05,7.000000186963007e-05,5.900000178371556e-05,6.70000008540228e-05,6.70000008540228e-05,7990702699
457,2021-11-01,6.70000008540228e-05,7.500000356230885e-05,6.600000051548705e-05,7.200000254670158e-05,7.200000254670158e-05,8120747918
458,2021-11-02,7.200000254670158e-05,7.300000288523734e-05,6.70000008540228e-05,6.900000153109431e-05,6.900000153109431e-05,5316969434
459,2021-11-03,6.900000153109431e-05,6.900000153109431e-05,5.2999999752501026e-05,5.500000042957254e-05,5.500000042957254e-05,6495261244
460,2021-11-04,5.500000042957254e-05,6.0999998822808266e-05,4.3000000005122274e-05,4.8999998398358e-05,4.8999998398358e-05,11486664527
461,2021-11-05,4.8999998398358e-05,6.500000017695129e-05,4.600000102072954e-05,6.199999916134402e-05,6.199999916134402e-05,12401211699
462,2021-11-06,6.299999949987978e-05,6.299999949987978e-05,5.500000042957254e-05,5.900000178371556e-05,5.900000178371556e-05,6445477874
463,2021-11-07,5.900000178371556e-05,5.999999848427251e-05,5.6000000768108293e-05,5.700000110664405e-05,5.700000110664405e-05,3123242451
464,2021-11-08,5.700000110664405e-05,5.900000178371556e-05,5.2999999752501026e-05,5.500000042957254e-05,5.500000042957254e-05,4496482335
465,2021-11-09,5.500000042957254e-05,5.8000001445179805e-05,5.400000009103678e-05,5.500000042957254e-05,5.500000042957254e-05,3142625649
466,2021-11-10,5.500000042957254e-05,5.500000042957254e-05,4.600000102072954e-05,4.999999873689376e-05,4.999999873689376e-05,4318757158
467,2021-11-11,4.999999873689376e-05,5.8000001445179805e-05,4.8999998398358e-05,5.700000110664405e-05,5.700000110664405e-05,5753844727
468,2021-11-12,5.700000110664405e-05,5.700000110664405e-05,5.0999999075429514e-05,5.199999941396527e-05,5.199999941396527e-05,2888701214
469,2021-11-13,5.199999941396527e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,5.199999941396527e-05,1678572265
470,2021-11-14,5.199999941396527e-05,5.6000000768108293e-05,5.199999941396527e-05,5.2999999752501026e-05,5.2999999752501026e-05,2504828825
471,2021-11-15,5.2999999752501026e-05,5.6000000768108293e-05,5.199999941396527e-05,5.2999999752501026e-05,5.2999999752501026e-05,2588941477
472,2021-11-16,5.400000009103678e-05,5.400000009103678e-05,4.600000102072954e-05,4.8000001697801054e-05,4.8000001697801054e-05,3935874227
473,2021-11-17,4.8000001697801054e-05,4.999999873689376e-05,4.70000013592653e-05,4.8000001697801054e-05,4.8000001697801054e-05,2389403757
474,2021-11-18,4.8000001697801054e-05,4.8999998398358e-05,4.099999932805076e-05,4.199999966658652e-05,4.199999966658652e-05,3495863723
475,2021-11-19,4.3000000005122274e-05,5.199999941396527e-05,4.199999966658652e-05,4.8999998398358e-05,4.8999998398358e-05,4244014798
476,2021-11-20,4.8999998398358e-05,4.999999873689376e-05,4.600000102072954e-05,4.8000001697801054e-05,4.8000001697801054e-05,2406332845
477,2021-11-21,4.8000001697801054e-05,4.8000001697801054e-05,4.400000034365803e-05,4.400000034365803e-05,4.400000034365803e-05,1636858723
478,2021-11-22,4.400000034365803e-05,4.600000102072954e-05,4.3000000005122274e-05,4.3000000005122274e-05,4.3000000005122274e-05,1806619697
479,2021-11-23,4.3000000005122274e-05,4.5000000682193786e-05,4.099999932805076e-05,4.199999966658652e-05,4.199999966658652e-05,1893597811
480,2021-11-24,4.199999966658652e-05,4.3000000005122274e-05,3.600000127335079e-05,3.9999998989515007e-05,3.9999998989515007e-05,2027746049
481,2021-11-25,3.7999998312443495e-05,4.8000001697801054e-05,3.7999998312443495e-05,3.9999998989515007e-05,3.9999998989515007e-05,4151282645
482,2021-11-26,4.3000000005122274e-05,4.3000000005122274e-05,3.600000127335079e-05,3.7999998312443495e-05,3.7999998312443495e-05,3770758761
483,2021-11-27,3.899999865097925e-05,4.199999966658652e-05,3.7999998312443495e-05,3.899999865097925e-05,3.899999865097925e-05,2068580738
484,2021-11-28,3.899999865097925e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.899999865097925e-05,3.899999865097925e-05,1902056544
485,2021-11-29,3.899999865097925e-05,4.600000102072954e-05,3.899999865097925e-05,4.600000102072954e-05,4.600000102072954e-05,3667758287
486,2021-11-30,4.5000000682193786e-05,5.400000009103678e-05,4.3000000005122274e-05,4.70000013592653e-05,4.70000013592653e-05,9568498541
487,2021-12-01,4.70000013592653e-05,4.8999998398358e-05,4.400000034365803e-05,4.400000034365803e-05,4.400000034365803e-05,3482541861
488,2021-12-02,4.400000034365803e-05,4.400000034365803e-05,4.099999932805076e-05,4.199999966658652e-05,4.199999966658652e-05,2042872233
489,2021-12-03,4.199999966658652e-05,4.5000000682193786e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,2740977676
490,2021-12-04,4.099999932805076e-05,4.099999932805076e-05,2.9999999242136255e-05,3.7000001611886546e-05,3.7000001611886546e-05,3873494147
491,2021-12-05,3.600000127335079e-05,3.7999998312443495e-05,3.400000059627928e-05,3.600000127335079e-05,3.600000127335079e-05,2307804650
492,2021-12-06,3.600000127335079e-05,3.7999998312443495e-05,3.300000025774352e-05,3.7000001611886546e-05,3.7000001611886546e-05,2321209665
493,2021-12-07,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.600000127335079e-05,3.600000127335079e-05,1844522891
494,2021-12-08,3.600000127335079e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,3.7000001611886546e-05,1257581860
495,2021-12-09,3.7000001611886546e-05,3.7000001611886546e-05,3.400000059627928e-05,3.5000000934815034e-05,3.5000000934815034e-05,1123882103
496,2021-12-10,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,1033903140
497,2021-12-11,3.400000059627928e-05,3.5000000934815034e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,940194089
498,2021-12-12,3.400000059627928e-05,3.7999998312443495e-05,3.400000059627928e-05,3.7000001611886546e-05,3.7000001611886546e-05,1460048877
499,2021-12-13,3.7000001611886546e-05,3.7000001611886546e-05,3.199999991920777e-05,3.300000025774352e-05,3.300000025774352e-05,1464806802
